2026-06-26 20:33:17.825266 - TCP Packet | 40.74.98.199 -> 192.168.1.7
2026-06-26 20:33:21.995447 - UDP Packet | 192.168.1.2 -> 239.255.255.250
2026-06-26 20:33:22.278402 - TCP Packet | 40.74.98.199 -> 192.168.1.7
2026-06-26 20:33:22.392129 - TCP Packet | 192.168.1.7 -> 40.74.98.199
2026-06-26 20:33:22.438192 - TCP Packet | 40.74.98.199 -> 192.168.1.7
2026-06-26 20:33:22.475712 - TCP Packet | 40.74.98.199 -> 192.168.1.7
2026-06-26 20:33:22.511620 - TCP Packet | 192.168.1.7 -> 40.74.98.199
2026-06-26 20:33:22.726187 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.734327 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.750348 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.758256 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.762315 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.816257 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.834256 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.848161 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.866107 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.877959 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.896291 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.911138 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:22.944637 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.964643 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:22.980669 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:23.063374 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:23.077335 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:23.093342 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:23.140118 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:23.150200 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:23.161338 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:23.177272 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:23.216934 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:26.282364 - TCP Packet | 192.168.1.7 -> 13.107.5.93
2026-06-26 20:33:26.294951 - TCP Packet | 13.107.5.93 -> 192.168.1.7
2026-06-26 20:33:27.093948 - TCP Packet | 13.89.179.9 -> 192.168.1.7
2026-06-26 20:33:30.456366 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.464460 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.482450 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.491765 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.507963 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.526707 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.547423 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:30.569449 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:30.614983 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.621004 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:30.632889 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:30.644992 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:30.782150 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.828005 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:30.850007 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.864749 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.882067 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.893630 - TCP Packet | 204.79.197.203 -> 192.168.1.7
